,book,author,placement,price,nprice
0,"Изучаем Python, том 2,",М.Лутц,"Расположение в торговом зале: Уровень 1, зал № 07, секция 07, шкаф 72, полка 04","Цена: 2769,00 руб.",2769.0
1,Сумка-шоппер ErichKrause® 10L Python Print,,"Расположение в торговом зале: Уровень 1, зал № 09, секция 01, шкаф 01, полка 01","Цена: 419,00 руб.",419.0
2,"Изучаем Python, том 1",М.  Лутц,"Расположение в торговом зале: Уровень 1, зал № 07, секция 07, шкаф 72, полка 04","Цена: 2769,00 руб.",2769.0
3,Изучаем программирование на Python,П. Бэрри,"Расположение в торговом зале: Уровень 1, зал № 07, секция 07, шкаф 72, полка 08","Цена: 1359,00 руб.",1359.0
4,Простой Python. Современный стиль программирования,Б. Любанович,"Расположение в торговом зале: Уровень 1, зал № 07, секция 07, шкаф 72, полка 05","Цена: 1529,00 руб.",1529.0
5,Программирование на языке Python,Р. Седжвик,"Расположение в торговом зале: Уровень 1, зал № 07, секция 07, шкаф 72, полка 07","Цена: 2219,00 руб.",2219.0
6,Python для детей : самоучитель по программированию,Дж. Бриггс,"Расположение в торговом зале: Уровень 1, зал № 07, секция 07, шкаф 72, полка 03","Цена: 1069,00 руб.",1069.0
7,Легкий способ выучить Python 3 еще глубже,З. Шоу ,"Расположение в торговом зале: Уровень 1, зал № 07, секция 07, шкаф 72, полка 06","Цена: 739,00 руб.",739.0
8,Глубокое обучение и TensorFlow для профессионалов. Математический подход к построению систем искусственного интеллекта на Python,С. Паттанаяк,"Расположение в торговом зале: Уровень 1, зал № 07, секция 07, шкаф 72, полка 05","Цена: 1659,00 руб.",1659.0
9,Python для сложных задач: наука о данных и машинное обучение,Дж. В. Плас,"Расположение в торговом зале: Уровень 1, зал № 07, секция 07, шкаф 72, полка 06","Цена: 1749,00 руб.",1749.0
10,"Изучаем Python: программирование игр, визуализация данных, веб-приложения. ","Изучаем Python: программирование игр, визуализация данных, веб-приложения. ","Расположение в торговом зале: Уровень 1, зал № 07, секция 07, шкаф 72, полка 03","Цена: 1509,00 руб.",1509.0
11,Python. Справочник. Полное описание языка,Python. Справочник. Полное описание языка,"Расположение в торговом зале: Уровень 1, зал № 07, секция 07, шкаф 72, полка 04","Цена: 2769,00 руб.",2769.0
12,Python 3   Самое необходимое ,Python 3   Самое необходимое ,"Расположение в торговом зале: Уровень 1, зал № 07, секция 07, шкаф 72, полка 06","Цена: 1139,00 руб.",1139.0
13,Легкий способ выучить Python,Легкий способ выучить Python,"Расположение в торговом зале: Уровень 1, зал № 07, секция 07, шкаф 72, полка 06","Цена: 699,00 руб.",699.0
14,Скрапинг веб-сайтов с помощью Python : сбор данных из современного интернета,Скрапинг веб-сайтов с помощью Python : сбор данных из современного интернета,"Расположение в торговом зале: Уровень 1, зал № 07, секция 07, шкаф 73, полка 05","Цена: 1609,00 руб.",1609.0
15,Программирование на Python 3,Программирование на Python 3,"Расположение в торговом зале: Уровень 1, зал № 07, секция 07, шкаф 72, полка 05","Цена: 2879,00 руб.",2879.0
16,Python в системном администрировании UNIX и Linux,Python в системном администрировании UNIX и Linux,"Расположение в торговом зале: Уровень 1, зал № 07, секция 07, шкаф 72, полка 05","Цена: 2159,00 руб.",2159.0
17,Программирование GPU при помощи Python и CUDA,Программирование GPU при помощи Python и CUDA,"Расположение в торговом зале: Уровень 1, зал № 07, секция 07, шкаф 72, полка 04","Цена: 2229,00 руб.",2229.0
18,Сумка-шоппер ErichKrause® 10L Purple Python,Сумка-шоппер ErichKrause® 10L Purple Python,"Расположение в торговом зале: Уровень 1, зал № 09, секция 05, шкаф 31, полка 01","Цена: 419,00 руб.",419.0
19,Классические задачи Computer Science на языке Python,Классические задачи Computer Science на языке Python,"Расположение в торговом зале: Уровень 1, зал № 07, секция 07, шкаф 72, полка 06","Цена: 1219,00 руб.",1219.0
